,budget,critic_rating,distribution,genre,id,method,rating,release,runtime,source,weekend1_date,weekend1_gross,weekend1_pertheater,weekend1_rank,weekend1_theaters,weekend2_date,weekend2_gross,weekend2_pertheater,weekend2_rank,weekend2_theaters,weekend3_date,weekend3_gross,weekend3_pertheater,weekend3_rank,weekend3_theaters,weekend4_date,weekend4_gross,weekend4_pertheater,weekend4_rank,weekend4_theaters,weekend5_date,weekend5_gross,weekend5_pertheater,weekend5_rank,weekend5_theaters,widest_release,year
Good Boy!,17000000.0,45.0,MGM,Comedy,Good-Boy,Live Action,PG,True,,Based on Fiction Book/Short Story,2003-10-10 00:00:00,13107022,4064,3,3225,2003-10-17 00:00:00,8932472,2770,6,3225,2003-10-24 00:00:00,5065102,1834,8,2762,2003-10-31 00:00:00,2262583,937,10,2415,2003-11-07 00:00:00,763070,599,16,1274,3225.0,2003
Good Hair,,95.0,Roadside Attractions,Documentary,Good-Hair,Live Action,PG-13,False,,Based on Real Life Events,2009-10-09 00:00:00,1039220,5587,14,186,2009-10-16 00:00:00,398617,2239,19,178,2009-10-23 00:00:00,946312,2031,14,466,2009-10-30 00:00:00,422938,1017,17,416,2009-11-06 00:00:00,205601,1501,24,137,466.0,2009
Good Luck Chuck,25000000.0,5.0,Lionsgate,Romantic Comedy,Good-Luck-Chuck,Live Action,R,True,,Original Screenplay,2007-09-21 00:00:00,13652001,5227,2,2612,2007-09-28 00:00:00,6244066,2391,4,2612,2007-10-05 00:00:00,3657516,1483,6,2467,2007-10-12 00:00:00,2032380,1042,11,1951,2007-10-19 00:00:00,738143,866,18,852,2612.0,2007
"Goodbye, Lenin!",6400000.0,90.0,Sony Pictures Classics,Comedy,Goodbye-Lenin,Live Action,R,True,,Original Screenplay,2004-02-27 00:00:00,57968,9661,53,6,2004-03-05 00:00:00,63436,10573,49,6,2004-03-12 00:00:00,150137,9384,34,16,2004-03-19 00:00:00,247592,5758,21,43,2004-03-26 00:00:00,288224,4575,18,63,63.0,2004
Gothika,,14.0,Warner Bros.,Horror,Gothika,Live Action,R,True,95.0,Original Screenplay,2003-11-21 00:00:00,19288438,8098,2,2382,2003-11-28 00:00:00,12868471,5402,4,2382,2003-12-05 00:00:00,5250356,2381,7,2205,2003-12-12 00:00:00,2725221,1509,10,1806,2003-12-19 00:00:00,1230085,1166,13,1055,2382.0,2003
Grace Unplugged,1700000.0,50.0,Roadside Attractions,Drama,Grace-Unplugged,Live Action,PG,False,102.0,Original Screenplay,2013-10-04 00:00:00,998145,1953,15,511,2013-10-11 00:00:00,524548,1045,17,502,2013-10-18 00:00:00,234392,749,24,313,2013-10-25 00:00:00,120978,582,32,208,2013-11-01 00:00:00,44751,533,38,84,511.0,2013
Gran Torino,25000000.0,79.0,Warner Bros.,Drama,Gran-Torino,Live Action,R,False,116.0,Original Screenplay,2008-12-12 00:00:00,271720,45287,20,6,2008-12-19 00:00:00,468221,24643,18,19,2008-12-26 00:00:00,2322781,27652,15,84,2009-01-02 00:00:00,2936423,34957,14,84,2009-01-09 00:00:00,29484388,10500,1,2808,2808.0,2008
Grandma's Boy,5000000.0,18.0,20th Century Fox,Comedy,Grandmas-Boy,Live Action,R,True,,Original Screenplay,2006-01-06 00:00:00,3009341,1493,13,2016,2006-01-13 00:00:00,1218930,605,21,2016,2006-01-20 00:00:00,135806,650,35,209,2006-01-27 00:00:00,29139,448,56,65,2006-02-03 00:00:00,25480,296,59,86,2016.0,2006
Gravity,110000000.0,97.0,Warner Bros.,Thriller/Suspense,Gravity,Live Action,PG-13,True,91.0,Original Screenplay,2013-10-04 00:00:00,55785112,15604,1,3575,2013-10-11 00:00:00,43188256,11800,1,3660,2013-10-18 00:00:00,30027161,7861,1,3820,2013-10-25 00:00:00,20135387,5432,2,3707,2013-11-01 00:00:00,12825346,4241,5,3024,3820.0,2013
Green Lantern,200000000.0,26.0,Warner Bros.,Action,Green-Lantern,Animation/Live Action,PG-13,True,113.0,Based on Comic/Graphic Novel,2011-06-17 00:00:00,53174303,13935,1,3816,2011-06-24 00:00:00,18028056,4724,3,3816,2011-07-01 00:00:00,6556612,1999,7,3280,2011-07-08 00:00:00,3147225,1562,10,2015,2011-07-15 00:00:00,1359133,1397,13,973,3816.0,2011
Green Zone,100000000.0,53.0,Universal,Drama,Green-Zone,Live Action,R,True,114.0,Based on Factual Book/Article,2010-03-12 00:00:00,14309295,4765,2,3003,2010-03-19 00:00:00,6113105,2035,5,3004,2010-03-26 00:00:00,3384480,1320,7,2564,2010-04-02 00:00:00,1248395,1005,11,1242,2010-04-09 00:00:00,534180,870,16,614,3004.0,2010
Greenberg,,75.0,Focus Features,Romantic Comedy,Greenberg,Live Action,R,False,,Original Screenplay,2010-03-19 00:00:00,118152,39384,29,3,2010-03-26 00:00:00,1021151,5642,14,181,2010-04-02 00:00:00,725294,3899,15,186,2010-04-09 00:00:00,420938,2462,18,171,2010-04-16 00:00:00,320111,1861,19,172,186.0,2010
Gridiron Gang,30000000.0,42.0,Sony Pictures,Drama,Gridiron-Gang,Live Action,PG-13,True,,Based on Real Life Events,2006-09-15 00:00:00,14414630,4114,1,3504,2006-09-22 00:00:00,9456617,2694,3,3510,2006-09-29 00:00:00,4581565,1511,6,3033,2006-10-06 00:00:00,2236784,1004,9,2228,2006-10-13 00:00:00,772551,658,17,1174,3510.0,2006
