,budget,critic_rating,distribution,genre,id,method,rating,release,runtime,source,weekend1_date,weekend1_gross,weekend1_pertheater,weekend1_rank,weekend1_theaters,weekend2_date,weekend2_gross,weekend2_pertheater,weekend2_rank,weekend2_theaters,weekend3_date,weekend3_gross,weekend3_pertheater,weekend3_rank,weekend3_theaters,weekend4_date,weekend4_gross,weekend4_pertheater,weekend4_rank,weekend4_theaters,weekend5_date,weekend5_gross,weekend5_pertheater,weekend5_rank,weekend5_theaters,widest_release,year
(500) Days of Summer,7500000.0,86.0,Fox Searchlight,Romantic Comedy,500-Days-of-Summer,Live Action,PG-13,False,,Original Screenplay,2009-07-17 00:00:00,834501,30907,12,27,2009-07-24 00:00:00,1635772,19244,12,85,2009-07-31 00:00:00,2776891,10439,12,266,2009-08-07 00:00:00,3739702,4577,9,817,2009-08-14 00:00:00,2967462,2832,11,1048,1048.0,2009
"10,000 B.C.",105000000.0,,Warner Bros.,Adventure,10-000-B-C,Live Action,PG-13,True,109.0,Original Screenplay,2008-03-07 00:00:00,35867488,10518,1,3410,2008-03-14 00:00:00,16773312,4919,2,3410,2008-03-21 00:00:00,8934064,2587,5,3454,2008-03-28 00:00:00,4947174,1619,7,3055,2008-04-04 00:00:00,2797409,1198,10,2335,3454.0,2008
12 Rounds,20000000.0,29.0,20th Century Fox,Action,12-Rounds,Live Action,PG-13,True,,Original Screenplay,2009-03-27 00:00:00,5329240,2286,7,2331,2009-04-03 00:00:00,2260906,970,9,2331,2009-04-10 00:00:00,796632,877,14,908,2009-04-17 00:00:00,263198,644,19,409,2009-04-24 00:00:00,100484,451,32,223,2331.0,2009
12 Years a Slave,20000000.0,96.0,Fox Searchlight,Drama,Twelve-Years-a-Slave,Live Action,R,False,133.0,Based on Factual Book/Article,2013-10-18 00:00:00,923715,48617,16,19,2013-10-25 00:00:00,2134325,17352,8,123,2013-11-01 00:00:00,4792214,11688,7,410,2013-11-08 00:00:00,6675731,5835,7,1144,2013-11-15 00:00:00,4604706,3263,8,1411,1411.0,2013
127 Hours,18000000.0,93.0,Fox Searchlight,Drama,127-Hours,Live Action,R,False,93.0,Based on Real Life Events,2010-11-05 00:00:00,264851,66213,25,4,2010-11-12 00:00:00,438539,19934,19,22,2010-11-19 00:00:00,916533,8486,14,108,2010-11-26 00:00:00,1708883,5832,11,293,2010-12-03 00:00:00,1619138,3739,12,433,433.0,2010
13 Going On 30,30000000.0,64.0,Sony Pictures,Comedy,13-Going-On-30,Live Action,PG-13,True,98.0,Original Screenplay,2004-04-23 00:00:00,21054238,6124,2,3438,2004-04-30 00:00:00,9876246,2860,3,3453,2004-05-07 00:00:00,5816841,1842,5,3158,2004-05-14 00:00:00,4107023,1546,6,2656,2004-05-21 00:00:00,2512234,1239,7,2028,3453.0,2004
1408,22500000.0,79.0,MGM,Horror,1408,Live Action,R,True,104.0,Based on Fiction Book/Short Story,2007-06-22 00:00:00,20617667,7699,2,2678,2007-06-29 00:00:00,10662804,3902,4,2733,2007-07-06 00:00:00,7088979,2694,6,2631,2007-07-13 00:00:00,4934516,2237,6,2206,2007-07-20 00:00:00,2621194,1806,8,1451,2733.0,2007
16 Blocks,45000000.0,55.0,Warner Bros.,Action,16-Blocks,Live Action,PG-13,True,105.0,Original Screenplay,2006-03-03 00:00:00,11855260,4381,2,2706,2006-03-10 00:00:00,7411016,2739,4,2706,2006-03-17 00:00:00,4755012,1784,6,2666,2006-03-24 00:00:00,2160379,1046,10,2066,2006-03-31 00:00:00,707401,702,15,1007,2706.0,2006
17 Again,40000000.0,55.0,Warner Bros.,Comedy,Seventeen,Live Action,PG-13,True,,Original Screenplay,2009-04-17 00:00:00,23722310,7288,1,3255,2009-04-24 00:00:00,11518495,3539,2,3255,2009-05-01 00:00:00,6361358,1954,4,3255,2009-05-08 00:00:00,4232422,1458,5,2903,2009-05-15 00:00:00,3368189,1375,6,2450,3255.0,2009
2 Fast 2 Furious,76000000.0,36.0,Universal,Action,2-Fast-2-Furious,Live Action,PG-13,True,107.0,Based on Factual Book/Article,2003-06-06 00:00:00,50472480,14810,1,3408,2003-06-13 00:00:00,18679370,5465,2,3418,2003-06-20 00:00:00,11099835,3535,3,3140,2003-06-27 00:00:00,6225570,2210,5,2817,2003-07-04 00:00:00,2641820,1485,10,1779,3418.0,2003
2 For the Money,20000000.0,22.0,Universal,Drama,2-For-the-Money,Live Action,R,True,,Original Screenplay,2005-10-07 00:00:00,8703240,3640,4,2391,2005-10-14 00:00:00,4686110,1955,6,2397,2005-10-21 00:00:00,2421835,1430,10,1693,2005-10-28 00:00:00,632145,1005,18,629,2005-11-04 00:00:00,264389,850,26,311,2397.0,2005
2 Guns,61000000.0,64.0,Universal,Action,2-Guns,Live Action,R,True,109.0,Based on Comic/Graphic Novel,2013-08-02 00:00:00,27059130,8945,1,3025,2013-08-09 00:00:00,11249145,3715,5,3028,2013-08-16 00:00:00,5806850,2350,8,2471,2013-08-23 00:00:00,3359825,1825,11,1841,2013-08-30 00:00:00,2638570,1870,14,1411,3028.0,2013
2012,200000000.0,39.0,Sony Pictures,Action,2012,Live Action,PG-13,True,158.0,Original Screenplay,2009-11-13 00:00:00,65237614,19165,1,3404,2009-11-20 00:00:00,26410206,7749,3,3408,2009-11-27 00:00:00,17651729,5125,3,3444,2009-12-04 00:00:00,6771665,2103,6,3220,2009-12-11 00:00:00,4351565,1533,8,2838,3444.0,2009
21,35000000.0,36.0,Sony Pictures,Thriller/Suspense,21,Live Action,PG-13,True,122.0,Based on Fiction Book/Short Story,2008-03-28 00:00:00,24105943,9103,1,2648,2008-04-04 00:00:00,15337418,5781,1,2653,2008-04-11 00:00:00,10470173,3827,3,2736,2008-04-18 00:00:00,5520362,1902,6,2903,2008-04-25 00:00:00,4018064,1361,7,2952,2952.0,2008
21 Grams,20000000.0,80.0,Focus Features,Drama,21-Grams,Live Action,R,False,,Original Screenplay,2003-11-21 00:00:00,274454,34307,22,8,2003-11-28 00:00:00,988321,13539,16,73,2003-12-05 00:00:00,502327,6788,16,74,2003-12-12 00:00:00,322069,4352,19,74,2003-12-19 00:00:00,259484,3655,23,71,74.0,2003
21 Jump Street,42000000.0,85.0,Sony Pictures,Comedy,21-Jump-Street,Live Action,R,True,109.0,Based on TV,2012-03-16 00:00:00,36302612,11632,1,3121,2012-03-23 00:00:00,20471187,6559,2,3121,2012-03-30 00:00:00,14830066,4711,4,3148,2012-04-06 00:00:00,10001381,3324,6,3009,2012-04-13 00:00:00,6558868,2398,8,2735,3148.0,2012
21 and Over,13000000.0,27.0,Relativity,Comedy,21-and-Over,Live Action,R,True,93.0,Original Screenplay,2013-03-01 00:00:00,8754168,3159,3,2771,2013-03-08 00:00:00,5091384,1837,6,2771,2013-03-15 00:00:00,2669967,1101,7,2424,2013-03-22 00:00:00,1028521,907,13,1134,2013-03-29 00:00:00,302777,880,18,344,2771.0,2013
22 Jump Street,50000000.0,85.0,Sony Pictures,Comedy,22-Jump-Street,Live Action,R,True,111.0,Based on TV,2014-06-13 00:00:00,57071445,17263,1,3306,2014-06-20 00:00:00,27460995,8306,2,3306,2014-06-27 00:00:00,15842375,4624,2,3426,2014-07-04 00:00:00,9803332,2949,3,3324,2014-07-11 00:00:00,6501558,2313,4,2811,3426.0,2014
27 Dresses,30000000.0,41.0,20th Century Fox,Romantic Comedy,27-Dresses,Live Action,PG-13,True,111.0,Original Screenplay,2008-01-18 00:00:00,23007725,7526,2,3057,2008-01-25 00:00:00,13360535,4346,3,3074,2008-02-01 00:00:00,8529845,2866,3,2976,2008-02-08 00:00:00,5409671,1904,6,2841,2008-02-15 00:00:00,3200024,1653,10,1936,3074.0,2008
28 Days Later...,8000000.0,87.0,Fox Searchlight,Horror,28-Days-Later,Live Action,R,True,,Original Screenplay,2003-06-27 00:00:00,10061858,7986,4,1260,2003-07-04 00:00:00,6007796,4558,7,1318,2003-07-11 00:00:00,4249700,3044,8,1396,2003-07-18 00:00:00,2541940,1940,10,1310,2003-07-25 00:00:00,2341887,2559,11,915,1396.0,2003
28 Weeks Later,15000000.0,70.0,20th Century Fox,Horror,28-Weeks-Later,Live Action,R,True,,Original Screenplay,2007-05-11 00:00:00,9807292,4258,2,2303,2007-05-18 00:00:00,5454168,2366,3,2305,2007-05-25 00:00:00,2543831,1264,6,2013,2007-06-01 00:00:00,1214942,1084,9,1121,2007-06-08 00:00:00,404339,925,15,437,2305.0,2007
3 Days to Kill,28000000.0,28.0,Relativity,Thriller/Suspense,3-Days-to-Kill,Live Action,PG-13,True,100.0,Original Screenplay,2014-02-21 00:00:00,12242218,4263,2,2872,2014-02-28 00:00:00,4950813,1724,4,2872,2014-03-07 00:00:00,3009910,1282,7,2348,2014-03-14 00:00:00,1730343,1105,12,1566,2014-03-21 00:00:00,587885,782,15,752,2872.0,2014
30 Days of Night,30000000.0,51.0,Sony Pictures,Horror,30-Days-of-Night,Live Action,R,True,,Based on Comic/Graphic Novel,2007-10-19 00:00:00,15951902,5587,1,2855,2007-10-26 00:00:00,6862764,2400,3,2859,2007-11-02 00:00:00,3741763,1424,6,2627,2007-11-09 00:00:00,2172031,1281,8,1696,2007-11-16 00:00:00,938612,1026,14,915,2859.0,2007
30 Minutes or Less,28000000.0,44.0,Sony Pictures,Comedy,30-Minutes-or-Less,Live Action,R,True,83.0,Original Screenplay,2011-08-12 00:00:00,13330118,4616,5,2888,2011-08-19 00:00:00,6402602,2217,8,2888,2011-08-26 00:00:00,2687165,1298,11,2071,2011-09-02 00:00:00,1818484,1342,15,1355,2011-09-09 00:00:00,533456,826,22,646,2888.0,2011
300,60000000.0,60.0,Warner Bros.,Action,300,Animation/Live Action,R,True,115.0,Based on Comic/Graphic Novel,2007-03-09 00:00:00,70885301,22844,1,3103,2007-03-16 00:00:00,32877328,10054,1,3270,2007-03-23 00:00:00,19862491,6056,2,3280,2007-03-30 00:00:00,11434437,3806,3,3004,2007-04-06 00:00:00,8368382,3130,6,2674,3280.0,2007
300: Rise of an Empire,110000000.0,42.0,Warner Bros.,Action,300-Rise-of-an-Empire,Animation/Live Action,R,True,102.0,Based on Comic/Graphic Novel,2014-03-07 00:00:00,45038460,12979,1,3470,2014-03-14 00:00:00,19201345,5502,2,3490,2014-03-21 00:00:00,8504075,2757,5,3085,2014-03-28 00:00:00,4209290,1618,9,2601,2014-04-04 00:00:00,1466274,943,12,1555,3490.0,2014
3:10 to Yuma,48000000.0,,Lionsgate,Western,310-to-Yuma,Live Action,R,True,122.0,Remake,2007-09-07 00:00:00,14035033,5292,1,2652,2007-09-14 00:00:00,8930889,3349,2,2667,2007-09-21 00:00:00,6157624,2122,4,2902,2007-09-28 00:00:00,4208366,1400,5,3006,2007-10-05 00:00:00,3215469,1255,7,2562,3006.0,2007
42,40000000.0,,Warner Bros.,Drama,42,Live Action,PG-13,True,88.0,Based on Real Life Events,2013-04-12 00:00:00,27487144,9153,1,3003,2013-04-19 00:00:00,17721410,5453,2,3250,2013-04-26 00:00:00,10657443,3130,3,3405,2013-05-03 00:00:00,6055327,1810,3,3345,2013-05-10 00:00:00,4588209,1566,5,2930,3405.0,2013
47 Ronin,175000000.0,15.0,Universal,Action,47-Ronin,Live Action,PG-13,True,127.0,Original Screenplay,2013-12-27 00:00:00,9910310,3686,9,2689,2014-01-03 00:00:00,5057215,1880,11,2690,2014-01-10 00:00:00,1644310,1210,16,1359,2014-01-17 00:00:00,449345,1310,25,343,2014-01-24 00:00:00,253340,1060,27,239,2690.0,2013
50 First Dates,75000000.0,44.0,Sony Pictures,Romantic Comedy,50-First-Dates,Live Action,PG-13,True,96.0,Original Screenplay,2004-02-13 00:00:00,39852237,11098,1,3591,2004-02-20 00:00:00,20429325,5656,1,3612,2004-02-27 00:00:00,12565729,3642,2,3450,2004-03-05 00:00:00,7637128,2512,4,3040,2004-03-12 00:00:00,5425736,2098,6,2586,3612.0,2004
50/50,8000000.0,94.0,Summit Entertainment,Black Comedy,5050,Live Action,R,True,100.0,Based on Real Life Events,2011-09-30 00:00:00,8644095,3517,5,2458,2011-10-07 00:00:00,5652149,2280,5,2479,2011-10-14 00:00:00,4260087,1782,7,2391,2011-10-21 00:00:00,2835208,1467,10,1932,2011-10-28 00:00:00,1408150,1179,14,1194,2479.0,2011
88 Minutes,30000000.0,5.0,Sony Pictures,Thriller/Suspense,88-Minutes,Live Action,R,True,,Original Screenplay,2008-04-18 00:00:00,6957216,3209,4,2168,2008-04-25 00:00:00,3593890,1658,8,2168,2008-05-02 00:00:00,1545084,875,10,1765,2008-05-09 00:00:00,534104,855,15,625,2008-05-16 00:00:00,258707,880,20,294,2168.0,2008
9,30000000.0,37.0,Focus Features,Adventure,9,Digital Animation,PG-13,True,,Original Screenplay,2009-09-11 00:00:00,10740446,6466,2,1661,2009-09-18 00:00:00,5563134,2701,6,2060,2009-09-25 00:00:00,2959231,1461,9,2025,2009-10-02 00:00:00,1398401,875,14,1598,2009-10-09 00:00:00,829650,682,16,1216,2060.0,2009
A Cinderella Story,19000000.0,11.0,Warner Bros.,Romantic Comedy,Cinderella-Story-A,Live Action,PG,True,,Based on Folk Tale/Legend/Fairytale,2004-07-16 00:00:00,13623350,5190,4,2625,2004-07-23 00:00:00,7834289,2984,5,2625,2004-07-30 00:00:00,4868485,2072,8,2350,2004-08-06 00:00:00,2878301,1394,10,2065,2004-08-13 00:00:00,869210,721,18,1205,2625.0,2004
A Dangerous Method,20000000.0,77.0,Sony Pictures Classics,Drama,Dangerous-Method-A,Live Action,R,False,99.0,Based on Play,2011-11-25 00:00:00,167953,41988,34,4,2011-12-02 00:00:00,119574,29894,34,4,2011-12-09 00:00:00,76936,19234,37,4,2011-12-16 00:00:00,150855,8874,25,17,2011-12-23 00:00:00,197230,3401,23,58,58.0,2011
A Good Day to Die Hard,92000000.0,14.0,20th Century Fox,Action,Die-Hard-5,Live Action,R,True,98.0,Original Screenplay,2013-02-15 00:00:00,24834845,6990,1,3553,2013-02-22 00:00:00,10165633,2860,5,3555,2013-03-01 00:00:00,4572486,1766,9,2589,2013-03-08 00:00:00,2121030,1230,11,1725,2013-03-15 00:00:00,1157499,1036,14,1117,3555.0,2013
A Good Year,35000000.0,25.0,20th Century Fox,Drama,Good-Year-A,Live Action,PG-13,True,118.0,Based on Fiction Book/Short Story,2006-11-10 00:00:00,3721526,1801,10,2066,2006-11-17 00:00:00,1602385,775,15,2067,2006-11-24 00:00:00,294250,577,25,510,2006-12-01 00:00:00,68820,499,36,138,2006-12-08 00:00:00,31052,211,48,147,2067.0,2006
A Guy Thing,20000000.0,24.0,MGM,Romantic Comedy,Guy-Thing-A,Live Action,PG-13,True,,Original Screenplay,2003-01-17 00:00:00,6988749,2779,7,2515,2003-01-24 00:00:00,3363857,1335,11,2520,2003-01-31 00:00:00,1291326,854,17,1512,2003-02-07 00:00:00,361346,374,28,965,2003-02-14 00:00:00,184022,386,36,477,2520.0,2003
A Haunted House,2500000.0,10.0,Open Road,Comedy,Haunted-House-A,Live Action,R,True,86.0,Original Screenplay,2013-01-11 00:00:00,18101682,8380,2,2160,2013-01-18 00:00:00,8170023,3782,6,2160,2013-01-25 00:00:00,3244017,1620,13,2002,2013-02-01 00:00:00,1522116,1014,16,1501,2013-02-08 00:00:00,780058,854,22,913,2160.0,2013
A Haunted House 2,4000000.0,8.0,Open Road,Comedy,Haunted-House-2-A,Live Action,R,True,87.0,Original Screenplay,2014-04-18 00:00:00,8843875,3829,5,2310,2014-04-25 00:00:00,3202679,1386,10,2310,2014-05-02 00:00:00,1075668,810,14,1328,2014-05-09 00:00:00,346430,659,22,526,2014-05-16 00:00:00,92425,745,37,124,2310.0,2014
A History of Violence,32000000.0,87.0,New Line,Drama,History-of-Violence-A,Live Action,R,False,,Based on Comic/Graphic Novel,2005-09-23 00:00:00,515992,36857,18,14,2005-09-30 00:00:00,8103077,6047,4,1340,2005-10-07 00:00:00,5067000,3781,9,1340,2005-10-14 00:00:00,3600474,2671,8,1348,2005-10-21 00:00:00,2699962,2064,9,1308,1348.0,2005
A Lot Like Love,25000000.0,41.0,Walt Disney,Comedy,Lot-Like-Love-A,Live Action,PG-13,True,,Original Screenplay,2005-04-22 00:00:00,7576593,3028,4,2502,2005-04-29 00:00:00,5084727,2032,6,2502,2005-05-06 00:00:00,3156096,1466,9,2153,2005-05-13 00:00:00,1053981,692,13,1522,2005-05-20 00:00:00,203632,547,19,372,2502.0,2005
A Man Apart,36000000.0,11.0,New Line,Action,Man-Apart-A,Live Action,R,True,,Original Screenplay,2003-04-04 00:00:00,11019224,4481,3,2459,2003-04-11 00:00:00,4457668,1787,5,2495,2003-04-18 00:00:00,2804432,1290,8,2174,2003-04-25 00:00:00,1200774,972,16,1235,2003-05-02 00:00:00,340771,751,25,454,2495.0,2003
A Mighty Heart,15000000.0,79.0,Paramount Vantage,Drama,Mighty-Heart-A,Live Action,R,True,,Based on Fiction Book/Short Story,2007-06-22 00:00:00,3948863,2914,10,1355,2007-06-29 00:00:00,1587323,1176,14,1350,2007-07-06 00:00:00,647288,994,16,651,2007-07-13 00:00:00,198755,1129,28,176,2007-07-20 00:00:00,75817,709,40,107,1355.0,2007
A Mighty Wind,6000000.0,88.0,Warner Bros.,Comedy,Mighty-Wind-A,Live Action,PG-13,False,,Original Screenplay,2003-04-18 00:00:00,2112140,15881,13,133,2003-04-25 00:00:00,1363232,8795,15,155,2003-05-02 00:00:00,1032336,6575,14,157,2003-05-09 00:00:00,3004214,3927,7,765,2003-05-16 00:00:00,1692463,2198,9,770,770.0,2003
A Million Ways to Die in The West,40000000.0,33.0,Universal,Comedy,Million-Ways-to-Die-in-the-West-A,Live Action,R,True,115.0,Original Screenplay,2014-05-30 00:00:00,16797385,5319,3,3158,2014-06-06 00:00:00,7348495,2325,5,3160,2014-06-13 00:00:00,3246400,1345,8,2413,2014-06-20 00:00:00,1600550,1130,11,1417,2014-06-27 00:00:00,562975,1166,14,483,3160.0,2014
A Most Wanted Man,,88.0,Roadside Attractions,Thriller/Suspense,Most-Wanted-Man-A,Live Action,R,False,121.0,Based on Fiction Book/Short Story,2014-07-25 00:00:00,2686526,7442,10,361,2014-08-01 00:00:00,3240980,4464,10,726,2014-08-08 00:00:00,2199120,2722,12,808,2014-08-15 00:00:00,1256386,1951,15,644,2014-08-22 00:00:00,853510,1971,16,433,808.0,2014
A Nightmare on Elm Street,35000000.0,15.0,Warner Bros.,Horror,Nightmare-on-Elm-Street-A-(2010),Live Action,R,True,,Remake,2010-04-30 00:00:00,32902299,9875,1,3332,2010-05-07 00:00:00,9119389,2737,2,3332,2010-05-14 00:00:00,4657190,1515,6,3075,2010-05-21 00:00:00,2321388,1092,8,2125,2010-05-28 00:00:00,922804,1036,11,891,3332.0,2010
A Perfect Getaway,14000000.0,61.0,Universal,Thriller/Suspense,Perfect-Getaway-A,Live Action,R,True,97.0,Original Screenplay,2009-08-07 00:00:00,5948555,2755,7,2159,2009-08-14 00:00:00,2860100,1325,12,2159,2009-08-21 00:00:00,1090615,825,15,1322,2009-08-28 00:00:00,367215,675,24,544,2009-09-04 00:00:00,182490,770,34,237,2159.0,2009
A Prairie Home Companion,10000000.0,81.0,Picturehouse,Comedy,Prairie-Home-Companion-A,Live Action,PG-13,True,105.0,Original Screenplay,2006-06-09 00:00:00,4566293,6008,7,760,2006-06-16 00:00:00,2846704,3711,11,767,2006-06-23 00:00:00,2300426,3059,12,752,2006-06-30 00:00:00,1421929,1983,14,717,2006-07-07 00:00:00,851490,1304,15,653,767.0,2006
A Prophet,13000000.0,97.0,Sony Pictures Classics,Drama,Prophete-Un,Live Action,R,False,,Original Screenplay,2010-02-26 00:00:00,163773,18197,34,9,2010-03-05 00:00:00,222524,7417,28,30,2010-03-12 00:00:00,226866,3781,24,60,2010-03-19 00:00:00,207458,2694,27,77,2010-03-26 00:00:00,145004,1747,30,83,83.0,2010
A Scanner Darkly,20000000.0,69.0,Warner Bros.,Thriller/Suspense,Scanner-Darkly-A,Rotoscoping,R,True,100.0,Based on Fiction Book/Short Story,2006-07-07 00:00:00,391672,23040,19,17,2006-07-14 00:00:00,1266427,5863,10,216,2006-07-21 00:00:00,678030,3096,13,219,2006-07-28 00:00:00,473642,1801,18,263,2006-08-04 00:00:00,256155,1144,26,224,263.0,2006
A Separation,800000.0,99.0,Sony Pictures Classics,Drama,Jodaeiye-Nader-az-Simin,Live Action,PG-13,False,123.0,Original Screenplay,2011-12-30 00:00:00,59481,19827,44,3,2012-01-06 00:00:00,92638,15440,38,6,2012-01-13 00:00:00,71864,11977,42,6,2012-01-20 00:00:00,168818,12986,32,13,2012-01-27 00:00:00,266625,8601,30,31,31.0,2011
A Serious Man,7000000.0,89.0,Focus Features,Comedy,Serious-Man-A,Live Action,R,False,,Original Screenplay,2009-10-02 00:00:00,251337,41890,31,6,2009-10-09 00:00:00,459318,21872,24,21,2009-10-16 00:00:00,842511,10275,15,82,2009-10-23 00:00:00,1093217,6211,12,176,2009-10-30 00:00:00,1036396,4355,13,238,238.0,2009
A Single Man,7000000.0,85.0,Weinstein Co.,Drama,Single-Man-A,Live Action,R,False,,Based on Fiction Book/Short Story,2009-12-11 00:00:00,217332,24148,21,9,2009-12-18 00:00:00,142848,15872,26,9,2009-12-25 00:00:00,352652,7666,20,46,2010-01-01 00:00:00,486958,10586,20,46,2010-01-08 00:00:00,359845,7497,23,48,48.0,2009
A Thousand Words,40000000.0,0.0,Paramount Pictures,Comedy,Thousand-Words-A,Live Action,PG-13,True,91.0,Original Screenplay,2012-03-09 00:00:00,6176280,3268,6,1890,2012-03-16 00:00:00,3632932,1917,6,1895,2012-03-23 00:00:00,1950154,1091,6,1787,2012-03-30 00:00:00,902587,896,9,1007,2012-04-06 00:00:00,478424,944,14,507,1895.0,2012
A Very Harold & Kumar 3D Christmas,20000000.0,68.0,Warner Bros.,Comedy,Very-Harold-and-Kumar-Christmas-A,Live Action,R,True,89.0,Original Screenplay,2011-11-04 00:00:00,12954142,4506,3,2875,2011-11-11 00:00:00,5915143,2057,6,2875,2011-11-18 00:00:00,2902434,1605,8,1808,2011-11-25 00:00:00,1594054,1822,13,875,2011-12-02 00:00:00,985378,1388,13,710,2875.0,2011
A Very Long Engagement,55000000.0,78.0,Warner Bros.,Drama,Very-Long-Engagement-A,Live Action,R,False,,Based on Fiction Book/Short Story,2004-11-26 00:00:00,101749,25437,35,4,2004-12-03 00:00:00,72585,18146,36,4,2004-12-10 00:00:00,50109,12527,38,4,2004-12-17 00:00:00,239796,9992,22,24,2004-12-24 00:00:00,453025,2713,21,167,167.0,2004
A Walk Among the Tombstones,28000000.0,66.0,Universal,Action,Walk-Among-the-Tombstones-A,Live Action,R,True,113.0,Based on Fiction Book/Short Story,2014-09-19 00:00:00,12758780,4705,2,2712,2014-09-26 00:00:00,4192815,1545,7,2714,2014-10-03 00:00:00,2013170,904,11,2226,2014-10-10 00:00:00,390745,700,20,558,2014-10-17 00:00:00,90850,575,40,158,2714.0,2014
ATL,17000000.0,62.0,Warner Bros.,Comedy,ATL,Live Action,PG-13,True,107.0,Original Screenplay,2006-03-31 00:00:00,11554404,7212,3,1602,2006-04-07 00:00:00,3710215,2316,7,1602,2006-04-14 00:00:00,1415291,1076,11,1315,2006-04-21 00:00:00,476395,791,17,602,2006-04-28 00:00:00,142342,633,28,225,1602.0,2006
AVP: Alien Vs. Predator,70000000.0,21.0,20th Century Fox,Horror,AVP-Alien-Vs-Predator,Live Action,PG-13,True,,Spin-Off,2004-08-13 00:00:00,38291056,11279,1,3395,2004-08-20 00:00:00,12409624,3649,4,3401,2004-08-27 00:00:00,4907613,1704,7,2880,2004-09-03 00:00:00,2510325,1291,14,1944,2004-09-10 00:00:00,1054921,875,16,1205,3401.0,2004
Abduction,35000000.0,4.0,Lionsgate,Thriller/Suspense,Abduction,Live Action,PG-13,True,106.0,Original Screenplay,2011-09-23 00:00:00,10925253,3504,4,3118,2011-09-30 00:00:00,5608053,1799,7,3118,2011-10-07 00:00:00,2893684,1117,11,2591,2011-10-14 00:00:00,1427194,836,13,1707,2011-10-21 00:00:00,581021,772,19,753,3118.0,2011
About Last Night,13000000.0,68.0,Sony Pictures,Romantic Comedy,About-Last-Night-(2014),Live Action,R,True,100.0,Based on Play,2014-02-14 00:00:00,25649011,11384,2,2253,2014-02-21 00:00:00,7534816,3344,6,2253,2014-02-28 00:00:00,3383253,1875,9,1804,2014-03-07 00:00:00,1653487,1540,12,1074,2014-03-14 00:00:00,670063,1074,16,624,2253.0,2014
About Time,12000000.0,69.0,Universal,Romantic Comedy,About-Time,Live Action,R,False,123.0,Original Screenplay,2013-11-01 00:00:00,1076250,6150,14,175,2013-11-08 00:00:00,4758070,3965,9,1200,2013-11-15 00:00:00,3340625,2610,10,1280,2013-11-22 00:00:00,1249500,1193,13,1047,2013-11-29 00:00:00,374035,1130,22,331,1280.0,2013
Abraham Lincoln: Vampire Hunter,67500000.0,35.0,20th Century Fox,Horror,Abraham-Lincoln-Vampire-Hunter,Live Action,R,True,105.0,Based on Fiction Book/Short Story,2012-06-22 00:00:00,16306974,5247,3,3108,2012-06-29 00:00:00,6009612,1933,6,3109,2012-07-06 00:00:00,1944534,1174,13,1657,2012-07-13 00:00:00,767753,1172,18,655,2012-07-20 00:00:00,184370,693,24,266,3109.0,2012
Accepted,,36.0,Universal,Comedy,Accepted,Live Action,PG-13,True,93.0,Original Screenplay,2006-08-18 00:00:00,10023835,3440,5,2914,2006-08-25 00:00:00,6344475,2175,6,2917,2006-09-01 00:00:00,4599915,1630,9,2822,2006-09-08 00:00:00,2511445,1055,13,2381,2006-09-15 00:00:00,1443420,990,15,1458,2917.0,2006
Across the Universe,45000000.0,53.0,Sony Pictures,Musical,Across-the-Universe,Live Action,PG-13,False,,Original Screenplay,2007-09-14 00:00:00,667784,29034,17,23,2007-09-21 00:00:00,1950871,7068,13,276,2007-09-28 00:00:00,2016224,5948,10,339,2007-10-05 00:00:00,1945219,5344,12,364,2007-10-12 00:00:00,3824988,4009,8,954,954.0,2007
Act of Valor,12000000.0,25.0,Relativity,Action,Act-of-Valor,Live Action,R,True,101.0,Original Screenplay,2012-02-24 00:00:00,24476632,8054,1,3039,2012-03-02 00:00:00,13572578,4446,3,3053,2012-03-09 00:00:00,6991877,2369,4,2951,2012-03-16 00:00:00,3733697,1350,5,2765,2012-03-23 00:00:00,2041362,920,5,2219,3053.0,2012
Addicted,,8.0,Lionsgate,Drama,Addicted,Live Action,R,True,105.0,Based on Fiction Book/Short Story,2014-10-10 00:00:00,7485346,8848,7,846,2014-10-17 00:00:00,3472423,3349,11,1037,2014-10-24 00:00:00,1496874,1566,14,956,2014-10-31 00:00:00,673432,1213,19,555,2014-11-07 00:00:00,313728,1302,23,241,1037.0,2014
Admission,13000000.0,38.0,Focus Features,Romantic Comedy,Admission,Live Action,PG-13,True,117.0,Original Screenplay,2013-03-22 00:00:00,6154984,2850,5,2160,2013-03-29 00:00:00,3235263,1497,8,2161,2013-04-05 00:00:00,1946048,1383,10,1407,2013-04-12 00:00:00,877293,965,14,909,2013-04-19 00:00:00,341753,705,21,485,2161.0,2013
Adventureland,9800000.0,88.0,Miramax,Black Comedy,Adventureland,Live Action,R,True,,Original Screenplay,2009-04-03 00:00:00,5722039,3073,6,1862,2009-04-10 00:00:00,3353618,1788,9,1876,2009-04-17 00:00:00,1331696,943,12,1412,2009-04-24 00:00:00,532270,916,16,581,2009-05-01 00:00:00,201613,998,24,202,1876.0,2009
